,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Career and Technical Education (CTE) programs offer a sequence of courses that provides students with coherent and rigorous content. CTE content is aligned with challenging academic standards and relevant technical knowledge and skills needed to prepare for further education and careers in current or emerging professions. CTE courses are organized into Programs of Study under Career Clusters that encompass similar career areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, Food & Natural Resources",,,,,Architecture & Construction,,,,,,,"Arts, A/V Tech & Communication",,,,,,"Business, Marketing & Finance",,,,Education,Health Science,,,,,,,,Hospitality & Tourism,,,Human Services,,,Information Technology,,,,,,Law & Public Service,,,Manufacturing,,Engineering,"Transportation, Distribution & Logistics",,,,
Career and Technical Education (CTE) Programs of Study by High School Campus,Animal Science,Applied Agricultural Engineering - Welding,Environmental & Natural Resources,Floral Design,Horticulture Science,Architectural Design,Carpentry,Construction Management & Inspection,Electrical,HVAC & Sheet Metal,Interior Design,Plumbing & Pipe Fitting,Animation,Digital Communications,Fashion Design,Graphic Design,Photography,Video Game Design,Accounting & Financial Services,Business Management,Entrepreneurship,Marketing & Sales,Teaching & Training,Exercise Science & Wellness,Health Informatics - Medical Coding & Billing,Healthcare Diagnostic - ECG/EKG & Phlebotomy,Biomedical Science,Healthcare Therapeutic - Patient Care Tech,Healthcare Therapeutic - Pharmacy Technician,"Healthcare Therapeutic-
Registered Dental Asst.","Healthcare Therapeutic-
Emergency Med. Tech.",Culinary Arts,Lodging & Resort Management,"Travel, Tourism & Attractions",Cosmetology & Personal Care,Family & Community Services,Health & Wellness,Cybersecurity,Information Technology Support & Services,Networking Systems,Programming & Software Development,Web Development,"Emergency Services-
Firefighter",Government & Public Administration,Law Enforcement,Legal Studies,"Electronics Technology 
",Welding,"Engineering 
Foundations",Automotive Collision,Automotive Maintenance,Aviation Maintenance,Aviation Flight,
Smith New Tech  ,,,,,,,,,,,,,★,★,,,,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Sorrells Education/Social Services  ,,,,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,,,★,,,,,,,,,,,,,,,,,,2
South Oak Cliff ,,,,,,,,,,,,,,,,,,,,★,★,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Spruce ,,,,,,,,,,,,,,,,★,,,★,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,★,,,,4
Sunset  ,,,,,,,,,,,,,,,,,,,AOF,,,,,,,,AOHS*,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Washington for the PVA  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
WT White  ,,,,,,,,,,,,,,,,,,,,★,,★,,,,,,,,,,,,,,★,,,,,,,,,,,,,AOE,,,,,4
Wilmer-Hutchins ,,,,,,,,,,,,,,★,,,,,★,,,,,,,,,,,,,AOHT*,,,,,,,★,,,,,,,,,,,,,,,4
Woodrow Wilson  ,,,,,,,,,,,,,,,,★,,,,,,★,,,,,,,,,,,,,,,,,,,,,,,,,,,★,,,,,3
Career Institute - North,,,,,,★,★,,★,★,★,★,,,,,,,,,,,,,,★,,★,,★,★,★,,,,,,★,,,★,,,,,,★,★,,,★,,★,17
Career Institute - South,,,,,,★,★,,★,★,★,★,,,,,,,,,,,,,,★,,★,★,★,★,★,,,,,,★,,,★,,,,,,★,★,,,★,,★,18
Career Institute - East,,,,,,,★,,★,★,★,★,,,,,,,,,,,,,,,,★,★,,,,,,,,,★,,,,,,,,,,,,,,,,8
TOTAL PROGRAMS,1,1,1,1,1,4,3,0,3,4,4,3,1,4,1,7,0,2,9,11,8,8,1,1,1,3,3,5,2,3,2,11,1,0,1,3,1,3,2,0,5,2,1,1,6,3,2,2,4,2,4,1,2,155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NAF Academies:          AOE - Academy of Engineering          AOF - Academy of Finance          AOHS - Academy of Health Science          AOHT - Academy of Hospitality and Tourism          AOIT - Academy of Information Technology         * Distinguished NAF Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
